Date UTC;HR (%)
19/06/99 12h00;41
19/06/99 15h00;39
19/06/99 18h00;44
19/06/99 21h00;73
20/06/99 00h00;88
20/06/99 03h00;94
20/06/99 06h00;88
20/06/99 09h00;60
20/06/99 12h00;60
20/06/99 15h00;68
20/06/99 18h00;68
20/06/99 21h00;77
21/06/99 00h00;82
21/06/99 03h00;94
21/06/99 06h00;88
21/06/99 09h00;63
21/06/99 12h00;43
21/06/99 15h00;46
21/06/99 18h00;49
21/06/99 21h00;72
22/06/99 00h00;88
22/06/99 03h00;87
22/06/99 06h00;77
22/06/99 09h00;52
22/06/99 12h00;38
22/06/99 15h00;36
22/06/99 18h00;36
22/06/99 21h00;59
23/06/99 00h00;77
23/06/99 03h00;72
23/06/99 06h00;63
23/06/99 09h00;46
23/06/99 12h00;33
23/06/99 15h00;28
23/06/99 18h00;30
23/06/99 21h00;46
24/06/99 00h00;56
24/06/99 03h00;72
24/06/99 06h00;63
24/06/99 09h00;44
24/06/99 12h00;29
24/06/99 15h00;26
24/06/99 18h00;24
24/06/99 21h00;39
25/06/99 00h00;53
25/06/99 03h00;60
25/06/99 06h00;56
25/06/99 09h00;39
25/06/99 12h00;36
25/06/99 15h00;41
25/06/99 18h00;43
25/06/99 21h00;88
26/06/99 00h00;88
26/06/99 03h00;88
26/06/99 06h00;94
26/06/99 09h00;88
26/06/99 12h0026/06/99 15h00;57
26/06/99 18h00;57
26/06/99 21h00;68
27/06/99 00h00;83
27/06/99 03h00;88
27/06/99 06h00;83
27/06/99 09h00;94
27/06/99 12h00;77
27/06/99 15h00;49
27/06/99 18h00;56
27/06/99 21h00;82
28/06/99 00h00;88
28/06/99 03h00;94
28/06/99 06h00;88
28/06/99 09h00;68
28/06/99 12h00;60
28/06/99 15h00;47
28/06/99 18h00;46
28/06/99 21h00;64
29/06/99 00h00;82
29/06/99 03h00;88
29/06/99 06h00;88
29/06/99 09h00;64
29/06/99 12h00;61
29/06/99 15h00;54
29/06/99 18h00;73
29/06/99 21h00;83
30/06/99 00h00;83
30/06/99 03h00;88
30/06/99 06h00;83
30/06/99 09h00;78
30/06/99 12h00;64
30/06/99 15h00;57
30/06/99 18h00;57
30/06/99 21h00;77
01/07/99 00h00;88
01/07/99 03h00;94
01/07/99 06h00;82
01/07/99 09h00;61
01/07/99 12h00;42
01/07/99 15h00;40
01/07/99 18h00;38
01/07/99 21h00;51
02/07/99 00h00;65
02/07/99 03h00;83
02/07/99 06h00;73
02/07/99 09h00;51
02/07/99 12h00;44
02/07/99 15h00;52
02/07/99 18h00;83
02/07/99 21h00;88
03/07/99 00h00;78
03/07/99 03h00;83
03/07/99 06h00;83
03/07/99 09h00;57
03/07/99 12h00;39
03/07/99 15h00;31
03/07/99 18h00;32
03/07/99 21h00;73
04/07/99 00h00;78
04/07/99 03h00;83
04/07/99 06h00;88
04/07/99 09h00;69
04/07/99 12h00;69
04/07/99 15h00;73
04/07/99 18h00;83
04/07/99 21h00;94
05/07/99 00h00;94
05/07/99 03h00;100
05/07/99 06h00;94
05/07/99 09h00;78
05/07/99 12h00;73
05/07/99 15h00;73
05/07/99 18h00;64
05/07/99 21h00;88
06/07/99 00h00;94
06/07/99 03h00;94
06/07/99 06h00;94
06/07/99 09h00;83
06/07/99 12h00;65
06/07/99 15h00;50
06/07/99 18h00;64
06/07/99 21h00;83
07/07/99 00h00;88
07/07/99 03h00;94
07/07/99 06h00;94
07/07/99 09h00;60
07/07/99 12h00;54
07/07/99 15h00;50
07/07/99 18h00;65
07/07/99 21h00;83
08/07/99 00h00;88
08/07/99 03h0008/07/99 06h00;82
08/07/99 09h00;60
08/07/99 12h00;47
08/07/99 15h00;42
08/07/99 18h00;45
08/07/99 21h00;57
09/07/99 00h00;64
09/07/99 03h00;73
09/07/99 06h00;78
09/07/99 09h00;54
09/07/99 12h00;40
09/07/99 15h00;35
09/07/99 18h00;37
09/07/99 21h00;50
10/07/99 00h00;60
10/07/99 03h00;77
10/07/99 06h00;73
10/07/99 09h00;50
10/07/99 12h00;40
10/07/99 15h00;40
10/07/99 18h00;45
10/07/99 21h00;57
11/07/99 00h00;78
11/07/99 03h00;83
11/07/99 06h00;83
11/07/99 09h00;58
11/07/99 12h00;51
11/07/99 15h00;46
11/07/99 18h00;62
11/07/99 21h00;74
12/07/99 00h00;83
12/07/99 03h00;94
12/07/99 06h00;94
12/07/99 09h00;65
12/07/99 12h00;74
12/07/99 15h00;94
12/07/99 18h00;94
12/07/99 21h00;94
13/07/99 00h00;94
13/07/99 03h00;94
13/07/99 06h00;94
13/07/99 09h00;88
13/07/99 12h00;83
13/07/99 15h00;78
13/07/99 18h00;78
13/07/99 21h00;83
14/07/99 00h00;83
14/07/99 03h00;77
14/07/99 06h00;83
14/07/99 09h00;68
